Location,Coordinates
"Yakut, Russia","(58.1564909, 31.0934902)"
"Kamunza-Goi,  Katanga",
"Sela Pass, India","(27.5035642, 92.1044346)"
"Bagotville, Quebec, Canada","(48.3407795, -70.8797721)"
"Near Carmona, Spain","(37.4717882, -5.641291)"
"Near Tourane, South Vietnam","(16.0339098, 108.1135382)"
"Near Nagoya, Japan","(35.1851045, 136.8998438)"
"Ellicott City, Maryland","(39.2757359, -76.8317417)"
Sao Tomé & Principe,"(0.3264119, 6.7300945)"
"Paraibuna, Brazil","(-23.3864203, -45.6626797)"
"Lima, Peru","(-11.967575, -77.0113689)"
"Kadena AB, Okinawa","(26.3617602, 127.7554216)"
"Near Brasilia, Brazil","(-10.3333333, -53.2)"
"Rotterdam, The Netherlands","(51.9244424, 4.47775)"
"Monte Renoso, Corsica, France","(42.0597203, 9.1338008)"
"Kaktovik (Barter Island), Alaska","(70.1115225, -143.6596314)"
"Tazovskoye, Russia",
"Great Salt Lake, Utah","(41.1762016, -112.6023361)"
"Kotzebue, Alaska","(66.8982057, -162.5977621)"
"Off Patuxent River, Maryland","(38.3142782, -76.4417733)"
"San Francisco, California","(37.7792588, -122.4193286)"
"Syktyvkar ,Russia","(61.6685237, 50.8352024)"
"Near Miami, Florida","(25.7741728, -80.19362)"
"Porcupine Hills area, Alberta, Canada","(49.8168613, -113.9568086)"
"Near Davao City, Philippines","(7.0648306, 125.6080623)"
"Ashgabat, Turkmenistan","(37.951836, 58.3723802)"
"Camden, Tennesee",
"Near Karai, Iran","(23.8425044, 78.605026)"
"Near Tacora, Volcano, Peru","(-16.2991787, -71.405777)"
"Monte Matto, Italy","(45.8556421, 10.3976599)"
"Misaki Mountain, Japan","(34.9369646, 135.7010478)"
"Near Sora, Italy","(41.7203358, 13.6139576)"
"Tatarstan, Russia","(55.448217, 50.4763591)"
"Near Buca, Cameroon","(2.9174543, 11.1537086)"
"Near Ayayda, Egypt","(29.8363907, 31.3013939)"
"Pacific Ocean, 116 miles WSW of Annette Island, Alaska","(55.1407297, -131.4459806)"
"Pathankot, India","(32.3021899, 75.6589406)"
"Mt. Kaolokung, Burma",
"Near Aysen, Chile","(-46.1434629, -74.2127886)"
"Bekkessamson, Hungary",
"Near Augustdorf, West Germany","(50.0980311, 8.5463351)"
"Passo Fundo, Brazil","(-28.2550598, -52.3966606)"
"Rochester, New York","(43.157285, -77.615214)"
"Mt. Ngatamahinerua, New Zealand","(-37.6618385, 175.8493666)"
"Near Irkutsk, Russia","(52.2891225, 104.279829)"
"Farafangana, Madagascar","(-22.8217524, 47.8307127)"
"Pak Tha, Laos","(19.995933, 100.6394476)"
"Off Bandra, Maharashtra, India","(19.0549792, 72.8402203)"
"Ibicaré, Brazil","(-27.088141, -51.368101)"
"Cape Desolation, Greenland","(60.734, -48.174)"
"Near Great Falls, Montana","(47.5048851, -111.29189)"
"Hachijo-Jima Island, Japan","(33.1024935, 139.8076939)"
"Near Leningrad , Russia","(59.9606739, 30.1586551)"
"Near Kutaisa, Russia","(53.0822148, 136.8459137)"
Northeast Laos,"(-7.901741, -34.8321719)"
"Durrenasch, Aargau, Switzerland","(47.3215135, 8.1571142)"
"Near Patti, India","(25.9496326, 82.1811392)"
"Perpignan, France","(42.6985304, 2.8953121)"
"Off Dover, Deleware","(40.5490857, -81.4874404)"
"Near Marseilles, France","(47.0706778, 3.0029271)"
"Jamaica, New York","(40.699835, -73.8077023)"
"Near Aswan, Egypt","(24.091071, 32.897306)"
"Hayes Island, Russia","(80.5791612, 57.6368464)"
"Near Tisbury, England","(51.0626977, -2.0643694)"
"Mariehamn, Aaland Island, Finland","(65.700718, 24.6301135)"
"Ste. Therese de Blainville, Canada","(45.6342923, -73.8362379)"
"Near Nederland, Colorado","(39.9613759, -105.510831)"
"Elkton, Maryland","(39.6065073, -75.8330934)"
"Gazni, Afghanistan","(33.5448968, 68.4132108)"
"Los Angeles, California","(34.0536909, -118.242766)"
"Zarate, Argentina","(-34.0954713, -59.0245097)"
"Near Ankara, Turkey","(39.9207759, 32.8540497)"
"Gainsville, Florida","(29.6194176, -82.3601179)"
"Yacuiba, Bolivia","(-22.0155203, -63.6781432)"
"Banihal Pass, India","(34.1975082, 77.5304524)"
"Marawi, Philippines","(8.0047262, 124.2854351)"
"Lake Pontchartrain, New Orleans, Louisiana","(30.0318374, -90.0622941)"
"Oita, Japan","(33.2393864, 131.6096524)"
"Near Innsbruck, Austria","(47.2654296, 11.3927685)"
"Near Zephyr Cove, Nevada","(39.0060103, -119.947238)"
"Barrackpore, India","(22.7641623, 88.3776088)"
Near Chicago Illinois,"(41.8629224, -87.6572624)"
"Boston, Massachutes",
"Near Danbury, North Carolina","(36.4093047, -80.2058831)"
"Mt. Vesuvius, Italy","(40.8213963, 14.4261967)"
"Hargeisa, Somalia","(9.561733, 44.061803)"
"Elim, Alaska","(64.6178042, -162.2624238)"
"Wilmington, Ohio","(39.4453393, -83.8285375)"
"San Ramon, California","(37.7648021, -121.9544387)"
"Off Rota, Spain","(36.6228636, -6.3599595)"
"Papanga, Philippines",
"Sibuco Point ,Philippines","(7.6037119, 125.9666663)"
"Itapecerica da Serra, Brazil","(-23.7176303, -46.8492435)"
"Jeddah, Saudia Arabia
Jeddah, Saudia Arabia","(27.0129529, 49.6544671)"
"Taichung, Taiwan","(24.163162, 120.6478282)"
"Off Palma de Mallorca, Spain","(39.5695818, 2.6500745)"
"Knoxville, Tennessee","(35.9603948, -83.9210261)"
"Parrottsville, Tennesee",
"Ansbach, Germany","(49.2888745, 10.5597693)"
"Near Nashville, Tennesee","(36.1622767, -86.7742984)"
"Island of Sakhalin, Russia","(46.9608554, 142.7295002)"
"Near Vaong Nong, Thailand","(14.0323468, 99.5247858)"
"Pico da Caledonia, Brazil","(-22.3535326, -42.58707)"
"Near Condoto, Colombia","(5.09568, -76.5114837)"
"Addis Ababa, Ethiopia","(9.0358287, 38.7524127)"
"Near Trevelez, Granada, Spain","(37.0023983, -3.2665989)"
"Near Sibiu, Romania","(45.6772006, 23.992201)"
"Near Belgrade, Yugoslavia","(44.7880163, 20.4522489)"
"El Centro, California","(32.792, -115.563051)"
"Branson, Colorado","(37.0175227, -103.884408)"
"Las Vegas, Nevada","(36.1672719, -115.1483538)"
"Off Argentia, Newfoundland, Canada","(47.2902236, -53.9917654)"
"Angelholm, Sweden","(56.2429224, 12.8619375)"
"Leopoldville, Democratic Republic of the Congo","(-4.3217055, 15.3125974)"
"Tripuani, Bolivia",
"Near Da Nang, South Vietnam","(16.0339098, 108.1135382)"
"Near Kaliba, Philippines","(12.7264611, 22.1718464)"
"Yurimaguas, Peru","(-5.8951672, -76.1046533)"
"Near San Francisco, California","(37.7994284, -122.4416326)"
"Near Turrialba, Costa Rica","(9.7843604, -83.4995932)"
"Detroit, Michigan","(42.3315509, -83.0466403)"
"Near Darwaza, Russia","(40.2525653, 58.4396147)"
"Alma-Ata, Kazakhstan","(43.2363924, 76.9457275)"
"Wichita, Kansas","(37.6922361, -97.3375448)"
"Near Durango, Mexico","(24.833333, -104.833333)"
Mt. Helmos. Greece,"(37.8982664, 22.1203969)"
"San Jose Volcano, Chile","(-41.1044943, -72.4958742)"
"Off Jones Beach, Wantagh, New York","(40.6012098, -73.5027125)"
"Near Shirinbulak, Azerbaijan","(39.3168288, 65.0638703)"
"Near Aradan, Russia","(52.5745347, 93.4426151)"
"Kuibyshev , Russia","(53.195469, 50.1021014)"
"Libmanan, Philippines","(13.6960365, 123.0612123)"
"Musquodoboit, Nova Scotia, Canada","(45.0257457, -63.1618381)"
"Trinity Bay, Newfoundland, Canada","(48.0493796, -53.4058945)"
"Khanty, Russia","(61.8793428, 68.6418156)"
"Sugar Loaf Mountain, Colombia","(49.2160787, -114.1045166)"
"Lowery Pass, Pakistan","(34.21678, 74.0036261)"
"Off Tangier, Morocco","(35.7696302, -5.8033522)"
"Near Damascus, Syria","(33.5130695, 36.3095814)"
"Jersey, Channel Islands, UK","(58.9418231, -3.1296944)"
"Near Seattle, Washington","(47.6038321, -122.330062)"
"Tenerife, Canary Islands, Spain
Canary Islands","(28.2863989, -16.7960118)"
"Cooper Lake, Ontario, Canada","(45.3429231, -79.0070901)"
"Near Colombus, Georgia","(51.3090926, 3.1459733)"
"Near Santa Ana, California","(33.7494951, -117.873221)"
"Near Oxford, England","(53.4754384, -2.2420282)"
"Dog Creek, British Columbia, Canada","(51.583333, -122.25)"
"Off Nantucket, Massachusetts","(41.2727997, -70.0951867)"
"St. Thomas, Virgin Islands","(18.3429081, -64.9188997)"
"Near Libacao, Philippines","(11.480692, 122.3024183)"
"Panama City, Panama","(8.9714493, -79.5341802)"
"Near Cuiaba, Brazil","(-15.5986686, -56.0991301)"
"Lake Michigan, near Chicago, Illinois","(41.8911044, -87.6060944)"
"Jeuk, Belgium","(50.7344256, 5.2095342)"
"Lake Tustumena, Alaska","(60.1671081, -150.8335915)"
"Near La Carlota, Phillipines","(37.6746159, -4.9325335)"
"Gore, Ethiopia","(8.1525979, 35.5371154)"
"Quang Ngai, South Vietnam","(52.5398428, 13.4117863)"
"Near Pastaza, Ecuador","(-1.4684449, -77.9924877)"
"Chances Peak, Montserrat","(16.7114291, -62.1750924)"
"Bao Trai, Vietnam","(20.9247131, 106.6894863)"
"Near Patian, Pakistan","(5.8501509, 121.0798255)"
"Bucaramanga, Colombia","(7.1669842, -73.1047294)"
"Near Hanoi, Vietnam","(21.0190151, 105.8012974)"
"Near Manila, Philippines","(14.5904492, 120.9803621)"
"Obock, French Somaliland",
"Off Puerto Lemon, Costa Rica","(9.3907981, -84.1486763)"
"Cincinnati Airport, near Covington, Kentucky","(39.0831712, -84.5107548)"
"Near Boqueron, Colombia","(5.7101749, -75.3644636)"
"Murmansk, Russia","(68.970665, 33.07497)"
"Near Palm Springs, California","(33.8246269, -116.540303)"
"Salt Lake City , Utah","(40.7596198, -111.886797)"
"Carmel, New York","(41.4266361, -73.6788272)"
"Tenerife, Canary Islands","(28.2935785, -16.6214471)"
"Near Tuy Hoa, South Vietnam","(16.0323803, 108.1146683)"
"Legaspi, Philippines","(13.1388596, 123.7343104)"
"Kamchatsky, Russia","(53.0199838, 158.6471356)"
"Near Palembang, Sumatra, Indonesia","(-2.9700595, 104.7397568)"
"Chipaque, Cundinamarca, Colombia","(4.4070793, -74.0697039)"
"Shamurat, Uzbekistan","(42.4924621, 59.6042067)"
"Palomares, Spain","(37.2473814, -1.7973403)"
"Port-au-Prince, Haiti","(18.547327, -72.3395928)"
"Mont Blanc, French Alps, Switzerland","(46.4324037, 7.7254895)"
"Near Binh Khe, South Vietnam","(52.5398428, 13.4117863)"
"Bremen, Germany","(53.0758196, 8.8071646)"
"Near Faridpur, East Pakistan (Bangladesh)","(24.4769288, 90.2934413)"
"Tokyo Bay, Japan","(35.4700117, 139.8477024)"
"Srinagar, India","(34.0747444, 74.8204443)"
"Delhi, India","(28.6273928, 77.1716954)"
"Pechora, Russia","(65.7109698, 54.8179912)"
"Near Milan, Italy","(45.4641943, 9.1896346)"
"Near Tokyo, Japan","(35.6768601, 139.7638947)"
"Near Gotemba City, Mt. Fuji, Japan","(35.362799, 138.730781)"
"Reef Island, Alaska","(60.8494683, -146.8302269)"
"Asuncion, Paraguay","(-25.2800459, -57.6343814)"
"Near Ardmore, Oklahoma","(34.1729273, -97.1309119)"
"Off Baku, Azerbaijan","(40.3755885, 49.8328009)"
"Tomas, Peru","(-12.2383101, -75.7460249)"
"Near Di Linh, South Vietnam","(20.9935722, 105.776108)"
"Lac Peribonka, QC, Canada","(50.138541, -71.2790778)"
"Sablayan, Philippines","(12.8470382, 120.7799198)"
"Auckland, New Zealand","(-36.852095, 174.7631803)"
"Cerro el Planchon, Chile","(-37.0068109, -71.6179097)"
"Hideaway Park, Colorado","(39.9203959, -105.7843208)"
Pakistan,"(30.3308401, 71.247499)"
"Near Munster, Indiana","(41.5644798, -87.5125412)"
"Benito, Bolivia","(-37.6795697, -59.79399)"
"Near Falls City, Nebraska","(40.0608352, -95.6019294)"
"Puertos Lobos, Argentina","(-35.1856322, -59.0978393)"
"Near Juneau, Alaska","(58.3019496, -134.419734)"
"Near Ljubljana, Slovenia, Yugoslavia","(46.0500268, 14.5069289)"
"Mumbai, Indian","(39.6159355, -86.0848063)"
"Off Tenerife, Canary Islands, Spain","(28.2935785, -16.6214471)"
"Winton, Australia","(-22.3845163, 143.0364812)"
"Near Wemme, Oregon","(45.34873, -121.9659137)"
"An Khe, Vietnam","(13.9504742, 108.6608142)"
"Off Morgan City, Louisiana","(29.6993748, -91.20677)"
"Off Chatham, Massachusetts","(41.6808327, -69.9532961)"
"Off Matsuyama, Japan","(33.8163835, 132.8049616)"
"Near Dallgow, Germany","(52.5406496, 13.0602956)"
"Near New Bern, North Carolina","(35.0814647, -77.028906)"
"Near Aden, Yemen","(12.789585, 45.028504)"
"Near Bratislava, Czechoslovakia","(48.1516988, 17.1093063)"
"Near Saigon, South Vietnam","(10.8202523, 106.7589927)"
"Near La Pedrera, Colombia","(-1.1950966, -70.0887773)"
"Cascubel River, Colombia","(3.3637337, -73.5239488)"
"Binh Tahi, Da Nang, Vietnam","(16.062815, 108.2101633)"
"Aleppo, Syria","(36.19924, 37.1637253)"
"Near Hourghada, UAR",
"Near Mexico City, Mexico","(19.3207722, -99.1514678)"
"Manado, Indonesia","(1.4900578, 124.8408708)"
"Tegucigalpa, Honduras","(14.1057433, -87.2040052)"
"Mactan, Philippines","(10.2882756, 123.9723977)"
"Near Marseille, Ohio","(39.6835647, -84.1718056)"
"Monrovia, Liberia","(6.328034, -10.797788)"
"Urbana, Ohio","(40.1083912, -83.7524298)"
"Near Klamath Falls, Oregon","(42.224867, -121.78167)"
"Near Phan Rang, South Vietnam","(52.5398428, 13.4117863)"
"Mt Visenti, Italy","(16.8494412, -24.9718792)"
"Near Yakutsk, Russia","(62.0274078, 129.7319787)"
"Off East London, South Africa","(-33.0191604, 27.8998573)"
"New Orleans, Louisiana","(29.9759983, -90.0782127)"
"Off Lima, Peru","(-11.967575, -77.0113689)"
"Seoul, South Korea","(37.5666791, 126.9782914)"
"Tamanrasset, Algeria","(24.3753438, 4.3208436)"
"Near Mamuniyeh, Iran","(35.3011297, 50.5073612)"
"Near Nicosia, Cyprus","(35.1746503, 33.3638783)"
"Near Sogamosa, Colombia",
"Malaybalay, Philippines","(8.1550421, 125.1305726)"
"Flushing, New York","(40.7654301, -73.8174291)"
"Cape Dyer, Northwest Territories Canada","(75.908749, -121.7994138)"
"Ottawa, Ontario, Canada","(45.4208777, -75.6901106)"
"Mt. Canigou, near Roussillon, France","(45.3735991, 4.8124049)"
"Stockport, Cheshire, England","(53.2141028, -2.4717701)"
"Jedda, Saudi Arabia","(21.5504432, 39.1742363)"
"Near La Paz, Mexico","(24.1619948, -110.3158532)"
"Dublin, Ireland","(53.3493795, -6.2605593)"
"Near Coari, Brazil","(-4.0885957, -63.1431166)"
"An Khe, South Vietnam","(52.5398428, 13.4117863)"
"Near Jacksonville, North Carolina","(34.7814287, -77.3999152)"
"Blossburg, Pennsylvania","(41.6795186, -77.0638567)"
"Khamis Mushait, Saudi Arabia","(18.3, 42.733333)"
"Kai Tak, Hong Kong","(22.3301046, 114.1989492)"
"Bacolod, Philippines","(10.6762836, 122.9513786)"
"Near Williamsport, Newfoundland, Canada","(50.533333, -56.283333)"
"Near Hendersonville, North Carolina","(35.3187279, -82.4609528)"
"Tananarive, Malagasy Republic","(50.8350653, 4.4211464)"
"Near Luang Prabang, Laos","(19.8887438, 102.135898)"
"Gulf of Tonkin,","(19.5000383, 107.364437)"
"Lake Erie off Huron, Ohio","(41.1305303, -82.591828)"
"Near Gander, Newfoundland, Canada","(48.9592291, -54.6187879)"
"Near Huong Thuy, South Vietnam","(17.2309279, 106.7466664)"
Over the Carribean Sea,"(12.0833286, -68.8704447)"
"Off Rhodes, Greece","(36.4488651, 28.2251225)"
South Vietnam,"(52.5398428, 13.4117863)"
"Near Curitiba, Brazil","(-25.4295963, -49.2712724)"
"Fernhurst, Sussex, England","(51.0481925, -0.7233101)"
"Hong Kong, China","(22.350627, 114.1849161)"
"Near Sverdlovsk, Russia","(56.839104, 60.60825)"
"Cincinnati International Airport, Covington/Hebron, Kentucky","(-33.9349749, 151.1658747)"
"Near Qui Nhon, South Vietnam","(21.0525714, 105.7352194)"
"Muong Soui, Laos","(20.5039899, 17.9963982)"
"Carpich Huanuco Mt., Peru","(-11.4183891, -75.6904175)"
"Near Madison, Wisconsin","(43.074761, -89.3837613)"
"Chiang Mai, Thailand","(18.7882778, 98.9858802)"
"Liepaja, Latvia","(56.5048435, 21.0070903)"
"Near Olekminsk, Russia","(60.3729364, 120.403496)"
"Near Quang Tri, South Vietnam","(21.0107622, 105.7725533)"
"Near Copper Canyon, Nevada","(37.3168192, -117.6539485)"
"Zifta, Egypt","(30.7152872, 31.2470999)"
"Moroni, Comoro Islands","(-12.2265681, 44.4107049)"
"Rohtang Pass, Northern India","(3.3409222, 32.6006811)"
"Vancouver, Canada","(49.2608724, -123.113952)"
"Linkuo, Taiwan",
"Ban Napa, Laos","(19.5908178, 103.6609889)"
"Near Bratsk, Russia","(56.1517085, 101.6334907)"
"Near Khe Sanh, South Vietnam","(21.0072395, 105.7372088)"
"Basse-Terre, Guadeloupe, West Indies","(16.2500695, -61.5639255)"
"Off Panay Island, Philippines","(13.9638816, 124.3363226)"
"Near Saint Denis, Reunion","(-20.8799889, 55.448137)"
"Off Wexford Harbor, Ireland","(52.2497828, -6.341819)"
"Near Coyhaique, Chile","(-45.5711804, -72.0684863)"
"Near Cheo Reo, South Vietnam","(52.5398428, 13.4117863)"
"Near Windhoek, South-West  Africa (Namibia)","(-22.9486273, 14.5246846)"
"Near Chaklala, West Pakistan","(33.9844606, 71.5265957)"
"Near Dawson, Texas","(32.7410762, -101.9576048)"
"Kham Duc, Vietnam","(15.4399678, 107.7898857)"
"Paramount, California","(33.898917, -118.171005)"
"San Sebastian, Spain","(43.3224219, -1.9838889)"
"Near Bearcat, South Vietnam","(52.5398428, 13.4117863)"
"Vichy, Missouri","(38.1114322, -91.7604389)"
"Near Dhahran, Saudi Arabia","(26.2966528, 50.1202146)"
"Near Lagos, Nigeria","(6.4550575, 3.3941795)"
"Gravata, Brazil","(-8.1993049, -35.5631137)"
Off Chili,
"Milwaukee, Wisconsin","(43.0386475, -87.9090751)"
"Pfaffenhofen, Germany","(49.0641578, 8.9753958)"
"Compton, California","(33.894927, -118.226624)"
"Off Port Said, Egypt","(31.263235, 32.305505)"
"Near Maturin, Venezuela","(9.7422774, -63.1888854)"
"Near Odda, Norway","(60.0679248, 6.5469316)"
"Near Burgas, Bulgaria","(42.4929635, 27.4735315)"
"Bradore Bay, Quebec, Canada","(52.4760892, -71.8258668)"
"Off Cap d'Antibes, France","(43.5548344, 7.1284027)"
"Farnsborough, England",
"Port Harcourt, Biafra, Nigeria","(49.1668691, 0.7857071)"
"Puerto Cortes, Costa Rica","(8.9614477, -83.5239723)"
"Feijó, Brazil","(-8.1648652, -70.3539579)"
"Near Ban Me Thuot, South Vietnam","(52.5398428, 13.4117863)"
"Hanover, New Hampshire","(43.7023545, -72.2892164)"
"Santa Ana, California","(33.7494951, -117.873221)"
"Savannakhet, Laos","(16.5001958, 105.7155946)"
"Pedro Bay, Alaska","(59.786763, -154.1430408)"
"Charlotte Amalie, St. Thomas, US Virgin Islands","(18.3368505, -64.9622349)"
"Bradford, Pennsylvania","(41.7746685, -76.5264613)"
"Prudhoe Bay, Alaska","(70.326677, -148.9432527)"
"Elmendorf Air Force Base, Alaska","(61.2532817, -149.8081736)"
"Ensenada, Mexico","(31.8658887, -116.602983)"
"Near Ciudad Victoria, Mexico","(23.7389846, -99.1441352)"
"Port Hedland, WA, Australia","(-20.3111814, 118.5801181)"
"Tyonek, Alaska","(61.0684293, -151.1409141)"
"Mt. Paku, Taiwan","(23.969127, 120.955832)"
"Gatwick Airport, Horley, Surrey,  England","(51.1716895, -0.1640754)"
"Near Bradford, Pennsylvania","(41.7746685, -76.5264613)"
"Off Los Angeles, California","(34.0536909, -118.242766)"
"Near Pearl Harbor, Hawaii","(21.3557747, -157.9991492)"
"Near Hue, Vietnam","(16.4639321, 107.5863388)"
"Near Lone Pine, California","(36.6049644, -118.0631279)"
"Tainan, Taiwan","(22.9912348, 120.184982)"
"Minchumina, Alaska","(63.816697, -152.3729903)"
"Maracaibo, Zulia, Venezuela","(10.6498095, -71.6443596)"
"Off New Providence Island, Bahamas","(25.0302511, -77.3960341)"
"Zawoja, Poland","(49.6600228, 19.5579106)"
"Sept-Îles, Quebec, Canada","(50.2109579, -66.3790642)"
"Off Chongjin, North Korea","(41.783248, 129.8206615)"
"Kinshasa, Zaire","(-4.3217055, 15.3125974)"
"Khulna, East Pakistan","(22.9372087, 89.2852741)"
"Near Takoradi, Ghana","(4.9003759, -1.7594827)"
"Near Chon Thanh, South Vietnam","(18.2605694, 105.9396142)"
"Medford, New Jersey","(39.9009472, -74.8234961)"
"Near Lashio, Burma","(22.9418628, 97.745165)"
"Reggio di Calabria, Italy","(38.1035389, 15.6397556)"
"Near Salinas Victoria, Nuevo Leon, Mexico","(26.1216805, -100.3270877)"
"Off Andreanof Islands, Alaska","(52.08784, -173.6493688)"
"Near Poroslitsy, Russia","(54.5802674, 35.5932198)"
"Near Talas, Kyrgyzstan","(42.5240807, 72.0832124)"
"Near Monroe, Georgia","(33.0142344, -83.9044159)"
"Hitauda, Nepal",
"Kekaha, Hawaii","(21.970833, -159.715)"
"Biskra, Algeria","(34.8508816, 5.729074)"
"Preobrazhenka, Ukraine","(48.1152056, 36.9794555)"
"Uli , Nigeria","(5.783333, 6.866667)"
"Near Long Tieng, Laos","(19.1118998, 102.9181991)"
"Sucre, Ecuador","(-3.4842862, -80.2242303)"
"Khovu-Aksy, Russia","(51.131943, 93.715744)"
"Newton, Iowa","(41.6997139, -93.0538852)"
"Cross Bay, Russia","(58.4816821, 41.532956)"
"Near Medina, Colombia","(4.510562, -73.3507441)"
"Near Fairland, Indiana","(39.5859946, -85.8634727)"
"Near Antipolo, Philippines","(14.5871972, 121.1759246)"
"Londrina-Parana, Brazil","(-23.2860116, -51.1235945)"
"Campbell River, Canada","(50.023071, -125.244153)"
"Near Hoi An, Vietnam","(15.8797632, 108.3317429)"
"Uli, Nigeria","(5.783333, 6.866667)"
"Nizhnevartovsk, Russia","(60.9339411, 76.5814274)"
"Timmins, Ontario ,Canada","(48.477473, -81.330414)"
"Near Anderma, Russia","(35.058098, -118.5221198)"
"Mt. Pilot Knob, Glens Falls, New York","(43.309941, -73.644447)"
"Near Ikeja, Nigeria","(6.5960605, 3.340787)"
"Near Khantanga, Russia",
"Near Keratea, Greece","(37.8083817, 23.9776656)"
"Off Makhachkala , Russia","(42.9830241, 47.5048717)"
"Nha Trang, Vietnam","(12.2544209, 109.1952535)"
"Stockholm, Sweden","(59.3251172, 18.0710935)"
Near Villia Greece,"(37.4700941, 25.3225098)"
"Faleolo, Western Samoa","(-13.8273279, -172.0189578)"
"Mt. Pumacona, Peru",
"Near Delhi, India","(28.5558548, 77.2488354)"
"Near Poza Rica, Mexico","(20.5320852, -97.4536355)"
"Near Batagai, Russia","(67.654907, 134.635071)"
"Near Murmansk, Russia","(68.970665, 33.07497)"
"Apuseni mountains, Romania","(46.5, 23.2)"
"Near Corrientes, Argentina","(-27.5013137, -58.8338254)"
"Near Samarkand, USSR","(39.6550017, 66.9756954)"
"Long Island Sound, Connecticut","(41.0508886, -72.9479898)"
"Puerto Infrida, Colombia",
"Off Santo Domingo, Dominican Republic","(18.4801972, -69.942111)"
Congo,"(-2.9814344, 23.8222636)"
"St. Moritz, Switzerland","(46.4978958, 9.8392428)"
"Belem Bay, Brazil","(14.0681466, -60.9546536)"
"Colorado City, Arizona","(36.9899107, -112.9765425)"
"Zaporozhye, Ukraine","(47.8507859, 35.1182867)"
"Rivolto, Italy","(45.9537388, 13.0205074)"
"Kainatu,  New Guinea","(-5.5226203, 142.0871194)"
"Near St. Croix, US Virgin Islands","(17.729124, -64.7589156)"
"Hamilton AFB, California","(38.0501283, -122.5136335)"
"Mogadishu, Somalia","(2.0349312, 45.3419183)"
"Iligan, Philippines","(8.2281556, 124.2411508)"
"Pellston, Michigan","(45.552789, -84.783936)"
"Kishiniev, Moldavia, USSR","(46.8287547, 29.4844703)"
"Chamblee, Georgia","(33.892176, -84.2988296)"
"Tripoli, Libya","(32.896672, 13.1777923)"
"Roxas, Philippines","(11.5895171, 122.7500577)"
"Near Huaricanga, Peru","(-10.4884858, -77.7507097)"
"McGrath, Alakska",
"Near Arbucias, Gerona, Spain","(41.8160629, 2.5141453)"
"Toronto, Canada","(43.6534817, -79.3839347)"
"Islamabad, Pakistan","(33.6938118, 73.0651511)"
"Near Tam Ky, South Vietnam","(52.5398428, 13.4117863)"
"Haringvreter, Netherlands","(51.5449906, 3.6899885)"
"Lihovka, Ukraine","(48.68626, 33.922)"
"Near Dnepropetrovsk, Ukraine, USSR","(44.5991576, 33.4898472)"
"Near Leningrad, USSR","(59.9606739, 30.1586551)"
"Near Vagar, Faeroe Islands, Denmark","(55.7894154, 12.4976698)"
"Near Da Nang, Vietnam","(16.0452231, 108.2468264)"
"Mt. Trelease, near Silver Plume, Colorado","(39.6960983, -105.725838)"
"Near Taipei, Taiwan","(25.0375198, 121.5636796)"
"Mahaffey, Pennsylvania","(40.8728411, -78.724196)"
"Near Germiston, South Africa","(-26.229444, 28.180556)"
"Fort Dix, New Jersey","(40.0105355, -74.6247972)"
"Pointe-à-Pitre, Guadeloupe","(16.2408636, -61.5334077)"
"Near Huntington, West Virginia","(38.4192496, -82.445154)"
"Near Nha Trang, South Vietnam","(12.2759083, 109.1319942)"
"Anchorage, Alaska","(61.2163129, -149.894852)"
"Near Cam Ranh, South Vietnam","(52.5398428, 13.4117863)"
"Dhaka, Bangladesh","(23.8202931, 90.3710408)"
"Near Constanta, Romania","(44.1767161, 28.6507598)"
"Near Shemshernagar,  Pakistan","(19.0749388, 79.4869718)"
"Off Algiers, Algeria","(36.7729333, 3.0588445)"
"Leningrad, USSR",
"Ben Gashir, Libya",
"Edison, New Jersey","(40.518157, -74.4113926)"
"Near Pacae, Peru","(-9.0242614, -76.066128)"
"Near Privas, France","(44.7352708, 4.5986733)"
"Surgut, USSR",
"Near Sokcho, South Korea","(38.2069574, 128.5913424)"
"Merida, Venezuela","(8.5816963, -71.1658075)"
"Voroshilovgrad, Russia",
"Mt. Cunatineuta, Ecuador",
"Gauhati, India","(26.1805978, 91.753943)"
"Ontario, California","(34.065846, -117.64843)"
"Vorochilovgrad, Ukraine",
"Near San Jose, Philippines","(13.8416626, 120.9644158)"
"Manchester, New Hampshire","(42.9956397, -71.4547891)"
"Santiago, Chile","(-33.4377756, -70.6504502)"
"Roanoke, Virginia","(37.270973, -79.9414313)"
"Near Duarte, California","(34.1401223, -117.9806671)"
"New Haven, Connecticut","(41.3082138, -72.9250518)"
"Near Arica, Chile","(-18.4785288, -70.3211394)"
"Garberville, California","(40.100569, -123.796139)"
"Hokkaido, Japan","(43.4519831, 142.8197834)"
"Near Bamako, Mali","(12.5222192, -7.949552)"
"Near Pau, France","(43.2957547, -0.3685668)"
"Near Morioko, Japan",
"Near Pegnitz, West Germany","(49.5066673, 11.2731949)"
"Augusta, Maine","(44.3169922, -69.7734278)"
"Near Hasloh, Germany","(53.693295, 9.9168991)"
"Presevo, Russia",
"Kiev, Ukraine, USSR","(44.5991576, 33.4898472)"
"Rila mountain, Bulgaria","(42.18, 23.58535)"
"Sena Madureira, Brazil","(-9.0659556, -68.6571058)"
"Near Aarsele, West Vlaanderen, Belgium","(50.9845, 3.4185022)"
